"Metrics: Sample Count","Periodic Samples: Periodic Samples","Metrics: Discarded metrics","Metrics: Strobe samples","Metrics: Nested calls count","Basic: Instructions Per Cycle","Basic: Retiring","Basic: Bad Speculation","Frontend: Frontend Bound","Frontend: Frontend Stalled Cycles","Backend: Backend Bound","Backend: Backend Stalled Cycles","Branch: Branch MPKI","Branch: Branch Misprediction Percentage","L2 Cache: L2 Cache MPKI","L2 Cache: L2 Cache Miss Percentage","L2 Cache: L2D Cache MPKI","L2 Cache: L2D Cache Miss Percentage","L3 Cache: L3 Cache MPKI","Last Level Cache: LL Cache Read MPKI","Instructions: Load Operations Percentage","Instructions: Store Operations Percentage","Instructions: Advanced SIMD Operations Percentage","Instructions: Floating Point Operations Percentage","Instructions: Integer Operations Percentage","Percentage of Total: Branch Predictor: Mispredictions","Percentage of Total: Cycles: CPU Cycles","Percentage of Total: Instructions (Executed): All","Percentage of Total: Instructions (Executed): Branch (Any)","Percentage of Total: Instructions (Executed): Branch (Mispredicted)","Percentage of Total: Instructions (Speculated): All","Percentage of Total: Instructions (Speculated): Branch (return)","Percentage of Total: Instructions (Speculated): Data Processing (Advanced SIMD)","Percentage of Total: Instructions (Speculated): Data Processing (Floating-point)","Percentage of Total: Instructions (Speculated): Data Processing (Integer)","Percentage of Total: Instructions (Speculated): Load","Percentage of Total: Instructions (Speculated): Store","Percentage of Total: L2 Data Cache: Access","Percentage of Total: L2 Data Cache: Refill","Percentage of Total: L3 Data Cache: Refill","Percentage of Total: Last Level Cache: Miss (due to read)","Percentage of Total: Operations: Executed","Percentage of Total: Operations: Speculated","Percentage of Total: Stalls: Backend","Percentage of Total: Stalls: Frontend","Percentage of Total: Stalls (Slots): All","Percentage of Total: Stalls (Slots): Backend","Percentage of Total: Stalls (Slots): Frontend","Metrics: Percentage of Total Samples","uid","image","symbol","inlined from"
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,158,"libc.so.6","_IO_new_file_init_internal",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,159,"libc.so.6","__GI__IO_link_in",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,172,"libc.so.6","__GI___fstat64",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,173,"libc.so.6","__GI__IO_file_doallocate",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,176,"libc.so.6","__GI__IO_sputbackc",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,177,"libc.so.6","__GI___strtoll_internal",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,178,"libc.so.6","____strtoll_l_internal",
2,0,1,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,187,"libc.so.6","__GI__IO_un_link.part.0",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,192,"libc.so.6","__GI__IO_setb",
2,0,1,0,0,,,,,6.34921,,93.0159,0,,,,,,,,,,,,,0,0.00732684,2.12014e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786909,0.0250288,0,0,0,0.0137165,193,"libc.so.6","free@plt",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,197,"libc.so.6","__GI___mmap64",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,198,"d2q9-bgk","malloc@plt",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,205,"d2q9-bgk","fprintf@plt",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,212,"libc.so.6","___printf_fp",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,221,"libc.so.6","__libc_cleanup_pop_restore",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,1,"ld-linux-aarch64.so.1","_start",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,14,"ld-linux-aarch64.so.1","__brk",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,17,"ld-linux-aarch64.so.1","do_tunable_update_val",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,18,"ld-linux-aarch64.so.1","sbrk",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,33,"ld-linux-aarch64.so.1","_dl_discover_osversion",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,34,"ld-linux-aarch64.so.1","_dl_init_paths",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,38,"ld-linux-aarch64.so.1","_dl_hwcaps_split_masked",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,41,"ld-linux-aarch64.so.1","copy_hwcaps",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,43,"ld-linux-aarch64.so.1","_dl_count_modids",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,44,"ld-linux-aarch64.so.1","_dl_audit_activity_map",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,45,"ld-linux-aarch64.so.1","access",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,49,"ld-linux-aarch64.so.1","__sigsetjmp",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,50,"ld-linux-aarch64.so.1","_dl_catch_exception",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,52,"ld-linux-aarch64.so.1","openaux",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,67,"ld-linux-aarch64.so.1","rtld_free",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,72,"ld-linux-aarch64.so.1",".plt",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,75,"ld-linux-aarch64.so.1","_dl_add_to_namespace_list",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,77,"ld-linux-aarch64.so.1","_dl_sort_maps",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,78,"ld-linux-aarch64.so.1","dfs_traversal.part.0",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,80,"ld-linux-aarch64.so.1","version_check_doit",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,82,"ld-linux-aarch64.so.1","_dl_check_all_versions",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,86,"ld-linux-aarch64.so.1","init_tls",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,88,"ld-linux-aarch64.so.1","__aarch64_ldadd4_relax",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,91,"ld-linux-aarch64.so.1","_dl_tls_initial_modid_limit_setup",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,92,"ld-linux-aarch64.so.1","__tls_init_tp",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,93,"ld-linux-aarch64.so.1","_dl_bti_check",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,97,"libc.so.6","__memchr_ifunc",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,98,"libc.so.6","__strlen_ifunc",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,99,"ld-linux-aarch64.so.1","_dl_protect_relro",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,100,"ld-linux-aarch64.so.1","__GI__dl_allocate_tls_init",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,101,"ld-linux-aarch64.so.1","__rtld_malloc_init_real",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,106,"ld-linux-aarch64.so.1","check_match",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,110,"libc.so.6","__getrlimit64",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,111,"libc.so.6","__pthread_tunables_init",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,112,"libc.so.6","__tunable_get_val@plt",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,113,"ld-linux-aarch64.so.1","_dl_init",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,116,"ld-linux-aarch64.so.1","init_have_lse_atomics",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,118,"ld-linux-aarch64.so.1","__getauxval2",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,120,"libc.so.6","_init_first",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,121,"libc.so.6","__GI_strrchr",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,123,"libc.so.6","__getauxval@plt",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,126,"d2q9-bgk","_start",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,127,"d2q9-bgk","__libc_start_main@plt",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,130,"ld-linux-aarch64.so.1","_dl_runtime_resolve",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,131,"libc.so.6","__GI___cxa_atexit",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,132,"libc.so.6","__libc_start_main_alias_2",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,135,"libc.so.6","__new_exitfn",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,136,"d2q9-bgk","set_fast_math",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,137,"libc.so.6","__GI__setjmp",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,139,"libc.so.6","__gettimeofday_ifunc",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,147,"libc.so.6","ptmalloc_init.part.0",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,151,"libc.so.6","__brk",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,156,"libc.so.6","_IO_no_init",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,162,"libc.so.6","__GI__IO_file_open",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,164,"libc.so.6","__GI_strchr",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,169,"libc.so.6","__GI__IO_file_underflow",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,174,"libc.so.6","__GI__IO_file_read",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,179,"libc.so.6","__GI___strtof_internal",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,182,"libc.so.6","__mpn_construct_float",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,185,"libc.so.6","round_and_return",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,189,"libc.so.6","__GI__IO_unsave_markers",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,190,"libc.so.6","_IO_new_file_close_it",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,191,"libc.so.6","__GI___close_nocancel",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,194,"libc.so.6","__free",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,196,"libc.so.6","__GI__IO_file_finish",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,199,"libc.so.6","__libc_memset_ifunc",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,222,"libc.so.6","new_do_write",
1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685824,224,"libc.so.6","__GI___write",
