"Metrics: Sample Count","Periodic Samples: Periodic Samples","Metrics: Discarded metrics","Metrics: Strobe samples","Metrics: Nested calls count","Basic: Instructions Per Cycle","Basic: Retiring","Basic: Bad Speculation","Frontend: Frontend Bound","Frontend: Frontend Stalled Cycles","Backend: Backend Bound","Backend: Backend Stalled Cycles","Branch: Branch MPKI","Branch: Branch Misprediction Percentage","L2 Cache: L2 Cache MPKI","L2 Cache: L2 Cache Miss Percentage","L2 Cache: L2D Cache MPKI","L2 Cache: L2D Cache Miss Percentage","L3 Cache: L3 Cache MPKI","Last Level Cache: LL Cache Read MPKI","Instructions: Load Operations Percentage","Instructions: Store Operations Percentage","Instructions: Advanced SIMD Operations Percentage","Instructions: Floating Point Operations Percentage","Instructions: Integer Operations Percentage","Percentage of Total: Branch Predictor: Mispredictions","Percentage of Total: Cycles: CPU Cycles","Percentage of Total: Instructions (Executed): All","Percentage of Total: Instructions (Executed): Branch (Any)","Percentage of Total: Instructions (Executed): Branch (Mispredicted)","Percentage of Total: Instructions (Speculated): All","Percentage of Total: Instructions (Speculated): Branch (return)","Percentage of Total: Instructions (Speculated): Data Processing (Advanced SIMD)","Percentage of Total: Instructions (Speculated): Data Processing (Floating-point)","Percentage of Total: Instructions (Speculated): Data Processing (Integer)","Percentage of Total: Instructions (Speculated): Load","Percentage of Total: Instructions (Speculated): Store","Percentage of Total: L2 Data Cache: Access","Percentage of Total: L2 Data Cache: Refill","Percentage of Total: L3 Data Cache: Refill","Percentage of Total: Last Level Cache: Miss (due to read)","Percentage of Total: Operations: Executed","Percentage of Total: Operations: Speculated","Percentage of Total: Stalls: Backend","Percentage of Total: Stalls: Frontend","Percentage of Total: Stalls (Slots): All","Percentage of Total: Stalls (Slots): Backend","Percentage of Total: Stalls (Slots): Frontend","Metrics: Percentage of Total Samples","uid","image","symbol","inlined from"
38,0,13,0,10,,,,,76.5065,,17.3752,76.7974,36.4341,,,,,,,,,,,,0,0.125836,0.00648762,0.166695,4.59433,0,8.57143,0,0,0,0,0,0,0,0,0,0,0,0.252455,5.17971,0,0,0,0.260613,167,"libc.so.6","__vfscanf_internal",
33,0,33,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226322,154,"libc.so.6","__aarch64_swp4_rel",
27,0,10,0,3,,,,,44.2722,,32.053,55.8539,18.5053,,,,,,,,,,,,0,0.103553,0.00986924,0.36311,5.08309,0,5.71429,0,0,0,0,0,0,0,0,0,0,0,0.383249,2.46659,0,0,0,0.185172,68,"ld-linux-aarch64.so.1","_dl_map_object_from_fd",
21,0,11,0,4,,,,,45.2471,,36.0741,75.9494,24.3243,,,,,,,,,,,,0,0.0489387,0.00251236,0.0956233,1.75953,0,2.85714,0,0,0,0,0,0,0,0,0,0,0,0.203844,1.19137,0,0,0,0.144023,20,"ld-linux-aarch64.so.1","dl_main",
21,0,21,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144023,32,"ld-linux-aarch64.so.1","check_match",
20,0,20,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137165,208,"libc.so.6","__GI__IO_file_xsputn",
19,0,8,0,2,,,,78.4483,90.1543,12.4138,0.691857,51.0949,37.8378,,,,,,,,,,,,1.56047,0.0673139,0.00290459,0.0478116,1.36852,0,2.85714,0,0,0,0,0,0,0,0,0,0,0,0.0034914,2.11994,0,1.02809,6.78418,0.130307,148,"libc.so.6","_int_malloc",
18,0,7,0,2,,,,,6.3978,,84.0372,19.9203,9.70874,,,,,,,,,,,,0,0.110159,0.00532154,0.133097,0.977517,0,5.71429,0,0,0,0,0,0,0,0,0,0,0,1.06891,0.379186,0,0,0,0.123448,83,"ld-linux-aarch64.so.1","_dl_check_map_versions",
18,0,10,0,1,,,,93.5134,36.4081,3.15457,50.1527,17.3913,18.1818,,,,,,,,,,,,0.130039,0.0528231,0.00121908,0.0142143,0.195503,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220496,0.745858,0,0.145963,4.98479,0.123448,129,"ld-linux-aarch64.so.1","_dl_fixup",
18,0,18,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123448,186,"libc.so.6","__memcpy_generic",
17,0,2,0,15,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11659,155,"libc.so.6","__memset_generic",
14,0,6,0,0,5.85548,70.8887,9.32309,,,,,,,0,0,0,0,0,0,22.5806,9.67742,,,,0,0.0559166,0.131236,0,0,0.15887,0,0,0,0,0.24315,0.82348,0.0143824,0,0,0,0.115341,0.118802,0,0,0.0147951,0,0,0.0960154,203,"d2q9-bgk","accelerate_flow",
13,0,2,0,0,,,,,45.9399,,39.931,14.5128,8.3004,,,,,,,,,,,,0,0.114578,0.0153392,0.326928,2.05279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528276,2.83201,0,0,0,0.0891571,2,"ld-linux-aarch64.so.1","_dl_start",
13,0,7,0,2,,,,,68.5851,,18.705,38.7812,14,,,,,,,,,,,,0,0.029098,0.00382685,0.129221,1.36852,0,2.85714,0,0,0,0,0,0,0,0,0,0,0,0.0628453,1.07373,0,0,0,0.0891571,46,"ld-linux-aarch64.so.1","_dl_map_object_deps",
11,0,11,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0754406,207,"libc.so.6","__fprintf",
10,0,4,0,0,,,,,92.1176,,0.340861,49.0956,20.8791,,,,,,,,,,,,0,0.0545908,0.00410246,0.117591,1.85728,0,8.57143,0,0,0,0,0,0,0,0,0,0,0,0.00214856,2.70561,0,0,0,0.0685824,180,"libc.so.6","____strtof_l_internal",
10,1,10,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685824,218,"libc.so.6","__strchrnul",
9,0,6,0,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617242,12,"ld-linux-aarch64.so.1","__GI___tunable_get_val",
9,0,3,0,2,,,,,82.6358,,15.9394,27.027,25,,,,,,,,,,,,0,0.0261208,0.000392225,0.00516883,0.0977517,0,2.85714,0,0,0,0,0,0,0,0,0,0,0,0.048074,1.16134,0,0,0,0.0617242,161,"libc.so.6","__libc_open64",
7,0,5,0,2,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480077,51,"ld-linux-aarch64.so.1","_dl_map_object",
7,0,7,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480077,53,"ld-linux-aarch64.so.1","_dl_name_match_p",
7,0,3,0,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480077,62,"ld-linux-aarch64.so.1","_dl_cache_libcmp",
7,0,6,0,0,,,,92.7758,,2.15827,,,,,,,,,,,,,,,0.390117,0.00969935,0,0,0,0,2.85714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114232,3.27248,0.0480077,146,"libc.so.6","__GI___libc_malloc",
7,0,5,0,1,,,,,97.3154,,0,37.037,25,,,,,,,,,,,,0,0.00693143,0.000286218,0.00516883,0.0977517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362917,0,0,0,0.0480077,150,"libc.so.6","sysmalloc",
7,0,7,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480077,184,"libc.so.6","__mpn_mul",
7,0,6,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480077,204,"d2q9-bgk","write_values",
7,0,6,0,0,,,,88.5824,,6.14525,,,,,,,,,,,,,,,0.390117,0.00832702,0,0,0,0,2.85714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196733,2.68702,0.0480077,209,"libc.so.6","_itoa_word",
7,0,7,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480077,220,"libc.so.6","__GI___libc_alloca_cutoff",
6,0,6,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411494,58,"ld-linux-aarch64.so.1","__mmap",
5,0,4,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342912,25,"ld-linux-aarch64.so.1","memcpy",
5,0,3,0,0,,,,,85.0671,,1.34228,53.5714,28.125,,,,,,,,,,,,0,0.0138629,0.00178091,0.0413506,0.879765,0,2.85714,0,0,0,0,0,0,0,0,0,0,0,0.00214856,0.63448,0,0,0,0.0342912,36,"ld-linux-aarch64.so.1","_dl_important_hwcaps",
5,0,5,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342912,70,"ld-linux-aarch64.so.1","__mprotect",
5,0,5,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342912,217,"libc.so.6","__mpn_extract_double",
4,0,3,0,0,,,,,98.6577,,0,166.667,66.6667,,,,,,,,,,,,0,0.00693143,0.000127208,0.00387662,0.195503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367923,0,0,0,0.027433,5,"ld-linux-aarch64.so.1","_dl_setup_hash",
4,0,2,0,0,,,,,82.9716,,0.66778,0,0,,,,,,,,,,,,0,0.0139326,0.00212014,0.118883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107428,0.621965,0,0,0,0.027433,7,"ld-linux-aarch64.so.1","_dl_sysdep_parse_arguments",
4,0,4,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027433,8,"ld-linux-aarch64.so.1","memset",
